"You are already unsubscribed from abandoned carts notifications.","You are already unsubscribed from abandoned carts notifications."
"You were successfully unsubscribed from abandoned carts notifications.","You were successfully unsubscribed from abandoned carts notifications."
"Cart Reminder Subscription","Cart Reminder Subscription"
"The subscription has been saved.","The subscription has been saved."
"The subscription has been removed.","The subscription has been removed."
"An error occurred while saving your subscription.","An error occurred while saving your subscription."
"The link cannot be used by registered customers.","The link cannot be used by registered customers."
"The link is invalid.","The link is invalid."
"SmartFocus - Abandonment cart configs","SmartFocus - Abandonment cart configs"
"Abandonment Cart Alert","Abandonment Cart Alert"
"Email Sender","Email Sender"
"Image Size","Image Size"
"Shopping Cart Prices Rule Id","Shopping Cart Prices Rule Id"
"Coupon Code Length","Coupon Code Length"
"Coupon Code Format","Coupon Code Format"
"Coupon Code Prefix","Coupon Code Prefix"
"Coupon Code Suffix","Coupon Code Suffix"
"Dash Every X Characters For Coupon Code","Dash Every X Characters For Coupon Code"
"If empty no separation.","If empty no separation."
"Excluding prefix, suffix and separators.","Excluding prefix, suffix and separators."
"First Alert Configuration","First Alert Configuration"
"First Email Alert Enable","First Email Alert Enable"
"First Email Alert Delay (in hour)","First Email Alert Delay (in hour)"
"First Email Alert Template","First Email Alert Template"
"Second Alert Configuration","Second Alert Configuration"
"Second Email Alert Enable","Second Email Alert Enable"
"Second Email Alert Delay (in hour)","Second Email Alert Delay (in hour)"
"Second Email Template","Second Email Template"
"Third Alert Configuration","Third Alert Configuration"
"Third Email Alert Enable","Third Email Alert Enable"
"Third Email Alert Delay (in hour)","Third Email Alert Delay (in hour)"
"Third Email Alert Template","Third Email Alert Template"
"Cart Reminder Email Subscription","Cart Reminder Email Subscription"
"Back","Back"
"Save","Save"
"Abandoned Cart 1","Abandoned Cart 1"
"Abandoned Cart 2","Abandoned Cart 2"
"Abandoned Cart 3","Abandoned Cart 3"
"General","General"
