"You are already unsubscribed from abandoned carts notifications.","Vous êtes déjà désinscrit des relances de paniers abandonnés."
"You were successfully unsubscribed from abandoned carts notifications.","Vous avez été désinscrit des relances de paniers abandonnés avec succès"
"Cart Reminder Subscription","Inscription aux relances paniers abandonnés"
"The subscription has been saved.","L'inscription a été prise en compte."
"The subscription has been removed.","La désinscription a été prise en compte"
"An error occurred while saving your subscription.","Une erreur est apparue lors de l'inscription"
"The link cannot be used by registered customers.","Le lien ne peut pas être utilisé par les utilisateurs enregistrés"
"The link is invalid.","Le lien est invalide."
"Cart Reminder Email Subscription","Inscription Aux Emails Relances Paniers Abandonnés"
"Image Size","Taille image"
"Shopping Cart Prices Rule Id","Id de règle de prix du panier"
"Coupon Code Length","Longueur du code coupon"
"Coupon Code Format","Format du code coupon"
"Coupon Code Prefix","Préfixe du code coupon"
"Coupon Code Suffix","Suffixe du code coupon"
"Dash Every X Characters For Coupon Code","Supprimer tous les caractères X dans le code coupon"
"If empty no separation.","Pas de séparation si vide."
"Excluding prefix, suffix and separators.","Exclure les préfixes, suffixes et séparateurs."
"Abandoned Cart 1","Panier Abandonné 1"
"Abandoned Cart 2","Panier Abandonné 2"
"Abandoned Cart 3","Panier Abandonné 3"
"Abandonment Cart Alert","Relance panier abandonné"
"First Alert Configuration","Configuration première relance"
"First Email Alert Enable","Activation première relance"
"First Email Alert Delay (in hour)","Délai première relance (en heure)"
"First Email Alert Template","Template première relance"
"Second Alert Configuration","Configuration deuxième relance"
"Second Email Alert Enable","Activation deuxième relance"
"Second Email Alert Delay (in hour)","Délai deuxième relance (en heure)"
"Second Email Template","Template deuxième relance"
"Third Alert Configuration","Configuration troisième relance"
"Third Email Alert Enable","Activation troisième relance"
"Third Email Alert Delay (in hour)","Délai troisième relance (en heure)"
"Third Email Alert Template","Template troisième relance"
"Sender Identity","Identité de l'expéditeur"
"Email Sender","Expéditeur Email"
"Back","Retour"
"Save","Valider"
"General","Général"
"SmartFocus - Abandonment cart configs","SmartFocus - Configurations de la relance panier abandoné"
