"Accounts","Comptes"
"Account Information","Information du compte"
"Account Name","Nom du compte"
"API Information","Informations API"
"API Login", "Identifiant API"
"API Password", "Mot de passe API"
"API Manager Key","Clé Manager API"
"API Uses Proxy", "API Utilise un Proxy"
"Proxy Host","Serveur Proxy"
"Proxy Port","Port du Proxy"
"Associated Webservice Urls","Adresses des webservices associés"
"Available Webservices","Webservices disponibles"
"Edit SmartFocus Account '%s'","Editer compte SmartFocus '%s'"
"New SmartFocus Account","Nouveau compte SmartFocus"
"Account ID", "Account ID"
"SmartFocus Account","Compte SmartFocus"
"Action","Action"
"Edit","Editer"
"Edit Account","Editer Compte"
"SmartFocus Accounts","Comptes SmartFocus"
"Add New Account","Ajouter Nouveau Compte"
"SmartFocus account deleted.","Votre compte SmartFocus a été supprimé."
"Unable to find an account to delete.","Aucun compte n'a été trouvé pour suppression."
"Your selected account does not exist anymore!","Votre compte sélectionné n'existe plus!"
"Could not verify the selected account. Network problems occured!","Impossible de vérifier le compte séléctionné. Connexion au webservice SmartFocus impossible, veuillez ré-essayer à nouveau!"
"Your account ""%s"" is not allowed for %s !","Votre compte ""%s"" n'est pas autorisé pour %s !"
"Please define a valid url for %s !","Merci de renseigner un valid url pour %s!"
"Could not enable ""%s"" process ! Please select an account in the list !","Impossible d'activer ""%s"" process ! Veuillez sélectionner un compte dans la liste !"
"Please give a valid url for %s !","Merci de renseigner un valid url pour %s!"
"Network problems occured ! Please verify the service url or your network settings!","Connexion au webservice SmartFocus impossible. Veuillez bien vérifier votre url service ou les paramètres de votre réseau !"
"Your token has expired! Please retry your request again !","Votre session a expiré, veuillez ré-essayer à nouveau !"
"Your API credential is not valid ! Please correct it !","Votre compte est invalide ! Veuillez le corriger !"
"Your SmartFocus template is not found! Please select a new one!","Votre SmartFocus template n'existe plus ! Veuillez choisir un nouveau template !"
"Unknown error with SmartFocus webservice","Erreur inconnue avec SmartFocus service"
"The given account does not have a valid url for Notification service","Le compte séléctionné ne contient pas un url valide pour Notification service"
"Can not create SmartFocus default sending template","Impossible de créer Campagin Commander template par défaut "
"--Please Select--","--Veuillez sélectionner--"
"Transactional Service","Transactional Service"
"REST Notification Service","REST Notification Service"
"Batch Member Service","Batch Member Service"
"Member Service","Member Service"
"Name is required.","Le nom est obligatoire."
"API login is required.","L'identifiant API est obligatoire."
"API password is required.","Le mot de passe API est obligatoire."
"API Manager key is required.","La clé API Manager est obligatoire."
"The SmartFocus account has been saved.","Le Compte SmartFocus a été enregistré."
"Account with the same name already exists.","Un compte avec un nom similaire existe déjà."
"Account with the same login already exists.","Un compte avec un identifiant similaire existe déjà."
"Account with the same API manager key already exists.","Un compte avec une clé Manager API similaire existe déjà."
"Proxy host and port are required.","Le serveur Proxy et le port sont nécessaires."
"You need to enter at least one of the following service(s) : %s","Vous devez entrer au moins un des services suivants: %s"
"Connection problem. Could not check api credential, please try again","Connexion au webservice SmartFocus impossible, veuillez ré-essayer à nouveau!"
"This SmartFocus account is invalid. Please check your API credential","Ce Compte SmartFocus est invalide. Merci de bien vérifier les détails de votre compte"
"This SmartFocus account does not have any SmartFocus service url","Ce Compte SmartFocus ne contient aucun SmartFocus service."
"%s is unknown by SmartFocus platform.","%s n'est pas réconnu par SmartFocus plateforme."
"Please enter a valid url for %s!","Merci de renseigner un valid url pour %s!"
"Service","Service"
"Url","Url"
"Add","Ajouter"
"Remove","Supprimer"
"General","Général"
"SmartFocus Connector Status (Version %s)","Connecteur Magento statut (Version %s)"
"<span class=""icon-status"">%s</span> Your Magento version is <strong>%s</strong>.","<span class=""icon-status"">%s</span> Votre version de Magento est <strong>%s</strong>."
"Required PHP version is <strong>%s</strong> - current version <strong>%s</strong>.","Version PHP requise est <strong>%s</strong> - version actuelle <strong>%s</strong>."
"Your PHP version (<strong>%s</strong>) is satisfied.","Votre version PHP (<strong>%s</strong>) est satisfaite."
"Required Php Extensions are <strong>%s</strong>.","Les PHP extension obligatoire sont <strong>%s</strong>."
"The followings are missing : <strong>%s</strong>.","Les extensions suivantes sont manquantes : <strong>%s</strong>."
"All the required Php Extensions (<strong>%s</strong>) are correctly installed.","Toutes les extensions PHP obligatoires (<strong>%s </strong>) sont correctement installées."
"<span class=""icon-status"">%s</span> Magento Cron Process has been correctly configured!","<span class=""icon-status"">%s</span> Cron de Magento a été correctement configuré!"
"<span class=""icon-status"">%s</span> Magento Cron Process has not been correctly activated!","<span class=""icon-status"">%s </span> Cron de Magento n'a pas été correctement activé!"
"<span class=""icon-status"">%s</span> memory_limit is set to <strong>%s</strong>.","<span class=""icon-status"">%s</span> memory_limit est configuré à <strong>%s</strong>."
"<span class=""icon-status"">%s</span> memory_limit should be set to at least <strong>%s M</strong> (currently %s).","<span class=""icon-status"">%s </span> memory_limit doit être réglé à au moins <strong>%s M </strong> (actuellement %s)."
"Data Sync","Data Sync"
"Title","Titre"
"State","Etat"
"New","Nouveau"
"Processing","En cours de traitement"
"Failed","Echoué"
"Success","Succès"
"Status (%)","Statut (%)"
"Terminated At","Terminé à"
"View Log","Consulter le log"
"SmartFocus Data Process List","Liste des procès SmartFocus"
"Data Process List","Liste des procès"
"Error during get output file","Erreur lors de la lecture de fichier output"
"Error during get process log","Erreur lors de la récupérartion de log"
"Please select something!","Merci de choisir un élément!"
"Unable to delete the process #%s. Reason: %s","Impossible de supprimer le processus #%s. Raison: %s"
"Unable to delete the process #%s","Impossible de supprimer le processus #%s"
"%s records were successfully deleted","%s procès ont été supprimés."
"One record was successfully deleted","Un procès a été supprimé."
