"Get SmartFocus templates","Obtenir les modèles SmartFocus"
"Template Mapping Configuration","Configuration de mappage de template"
"Sending Mode","Mode d'envoi"
"From","De"
"To","A"
"Attribute Mapping","Mappage d'attribut"
"There is no Magento email templates which can be used for this account !","Aucun modèle Magento n'est disponbile pour ce compte"
"Magento Template Name","Nom du modèle Magento"
"SmartFocus Account","Compte SmartFocus"
"SmartFocus Template Name","Nom du modèle SmartFocus"
"Edit '%s' Email Template","Editer email transactionnel '%s'"
"New Email Template","Nouveau modèle d'email"
Mode","Mode"
"SmartFocus Template Id And Name","ID et nom du modèle SmartFocus"
"Action","Action"
"Edit","Editer"
"Get Error","Visualiser les erreurs"
"ID","ID"
"Email","Email"
"Type","Type"
"Original Magento Template","Modèle original Magento"
"Magento Template","Modèle Magento utilisé"
"Account Name","Nom du compte"
"SmartFocus Template","Modèle SmartFocus"
"Error","Erreur"
"Success","Succès"
"Action","Action"
"Number of Attempts","Nombre de tentatives"
"First Attempt","Premierère tentative"
"Last Attempt","Dernière tentative"
"SmartFocus Transactional Emails","Emails transactionnels SmartFocus"
"Add New Transactional Email","Ajouter un nouveau email transactionnel"
"Email Sending Logs","Enregistrements d'envoi"
"Transactional Messages (NMP)","Messages Transactionels (NMP)"
"Email Templates","Modèles d'email"
"Email Sending Logs","Enregistrement des envois d'emails"
"Re-scheduled Email List","Liste des emails re-programmés"
"Activate Sending Log","Activer l'enregistrement d'envoi"
"Rescheduled Emails","Emails re-programmés"
"By default, only error emails will be logged","Par défaut, seuls les erreurs emails seront enregistrés"
"Activate Sending Parameters Log","Activer l'enregistrement de paramètres d'envoi"
"All SmartFocus sending parameters will be logged","Tous les paramètres d'envoi seront enregistrés"
"Resending Mechanism Configuration","Configuration du mécanisme de renvoi"
"Activate Resending Mechanism","Activer le mécanisme de renvoi"
"First Delay (in minutes)","Premier délai (en minutes)"
"Second Delay (in minutes)","Second délai (en minutes)"
"Third Delay (in minutes)","Troisième Delai (en minutes)"
"Fourth Delay (in minutes)","Quatrième Delai (en minutes)"
"SmartFocus template parameters are not valid !","Les paramètres du modèle SmartFocus sont invalides !"
"Manage Email Templates","Emails Transactionnels"
"SmartFocus account has not been set !","Il n'y a aucun compte SmartFocus configuré."
"New Template","Nouveau Modèle"
